date,ts,exchange,coin,last,pct24h,rvol,vol_musd,news_tag,news_age_d,news_headline
2026-06-07,2026-06-07 09:07,binance,BLESS/USDT,0.006177,31.73,13.55,61.1,,,
2026-06-07,2026-06-07 09:07,binance,ASR/USDT,1.022,6.57,11.39,27.4,,,
2026-06-07,2026-06-07 09:07,binance,BANK/USDT,0.03355,21.65,8.79,33.9,,,
2026-06-07,2026-06-07 09:07,binance,ALLO/USDT,0.30104,8.7,8.7,1303.5,,,
2026-06-07,2026-06-07 09:07,binance,BLUAI/USDT,0.012986,-28.12,8.14,114.6,,,
2026-06-07,2026-06-07 09:07,binance,VELVET/USDT,0.19949,22.21,8.01,79.4,,,
2026-06-07,2026-06-07 09:07,binance,HEI/USDT,0.09911,-6.55,6.24,231.8,,,
2026-06-07,2026-06-07 09:07,binance,GWEI/USDT,0.13,24.8,4.93,54.4,,,
2026-06-07,2026-06-07 09:07,binance,CLO/USDT,0.24127,12.84,3.26,60.7,,,
2026-06-07,2026-06-07 09:07,binance,BABY/USDT,0.01639,6.57,3.07,64.3,,,
2026-06-07,2026-06-07 09:07,binance,SKYAI/USDT,0.28539,36.83,2.98,268.5,,,
2026-06-07,2026-06-07 09:07,binance,龙虾/USDT,0.011541,25.75,2.75,22.1,,,
2026-06-07,2026-06-07 09:07,binance,HOME/USDT,0.04828,14.44,2.68,161.7,,,
2026-06-07,2026-06-07 09:07,binance,币安人生/USDT,0.8568,26.53,2.52,142.4,,,
2026-06-07,2026-06-07 09:07,binance,OPN/USDT,0.1304,-45.1,2.42,150.9,,,
2026-06-07,2026-06-07 09:07,binance,PARTI/USDT,0.06012,23.27,2.35,24.1,,,
2026-06-07,2026-06-07 09:07,binance,LA/USDT,0.07654,9.3,2.04,13.8,,,
2026-06-10,2026-06-10 21:19,binance,HMSTR/USDT,0.000255,48.28,14.09,88.1,,,
2026-06-10,2026-06-10 21:19,binance,VELVET/USDT,0.79584,103.92,13.67,492.4,,,
2026-06-10,2026-06-10 21:19,binance,KAT/USDT,0.006729,13.88,13.33,89.4,,,
2026-06-10,2026-06-10 21:19,binance,STG/USDT,0.3785,18.88,12.76,422.5,,,
2026-06-10,2026-06-10 21:19,binance,FOLKS/USDT,2.144,18.19,9.3,54.3,,,
2026-06-10,2026-06-10 21:19,binance,MAGMA/USDT,0.54149,43.34,7.16,106.9,,,
2026-06-10,2026-06-10 21:19,binance,BIRB/USDT,0.07807,8.14,6.77,11.0,,,
2026-06-10,2026-06-10 21:19,binance,SOXL/USDT,177.87,-11.66,6.49,954.6,,,
2026-06-10,2026-06-10 21:19,binance,SENT/USDT,0.01486,-11.65,5.55,33.8,,,
2026-06-10,2026-06-10 21:19,binance,JCT/USDT,0.006975,6.31,4.79,53.7,,,
2026-06-10,2026-06-10 21:19,binance,ORCL/USDT,187.63,-9.37,4.68,39.6,,,
2026-06-10,2026-06-10 21:19,binance,UAI/USDT,0.3502,21.77,4.53,18.6,,,
2026-06-10,2026-06-10 21:19,binance,BEAT/USDT,7.4416,56.58,3.99,601.9,,,
2026-06-10,2026-06-10 20:34,binance,EVAA/USDT,0.3841,-11.5,3.45,10.7,,,
2026-06-10,2026-06-10 21:19,binance,MRVL/USDT,248.27,-7.32,2.95,480.6,,,
2026-06-10,2026-06-10 20:34,binance,SPK/USDT,0.02057,6.09,2.76,17.1,,,
2026-06-10,2026-06-10 20:34,binance,MANTRA/USDT,0.007567,5.76,2.5,14.1,,,
2026-06-10,2026-06-10 21:19,binance,POWER/USDT,0.08465,-5.12,2.42,20.0,,,
2026-06-10,2026-06-10 20:34,binance,MU/USDT,883.88,-5.72,2.33,972.0,,,
2026-06-10,2026-06-10 21:19,binance,MOVE/USDT,0.01229,-12.15,2.33,35.7,,,
2026-06-10,2026-06-10 21:19,binance,SAHARA/USDT,0.0162,-14.87,2.15,101.2,,,
2026-06-10,2026-06-10 21:19,binance,WLFI/USDT,0.05917,7.68,2.1,75.4,,,
2026-06-11,2026-06-11 22:53,gate,VELVET/USDT,1.57973,74.58,3218.03,42.2,,,
2026-06-11,2026-06-11 21:18,gate,HMSTR/USDT,0.000283,7.12,3050.53,26.7,,,
2026-06-11,2026-06-11 22:53,gate,AIO/USDT,0.19929,37.82,1230.61,13.1,,,
2026-06-11,2026-06-11 18:24,binance,AIO/USDT,0.2202,81.0,75.22,313.6,,,
2026-06-11,2026-06-11 20:11,bybit,AIO/USDT,0.20082,61.38,72.5,32.2,,,
2026-06-11,2026-06-11 22:53,gate,LAB/USDT,8.8525,13.04,54.88,44.0,,,
2026-06-11,2026-06-11 22:53,gate,BEAT/USDT,10.1,44.99,42.87,97.6,,,
2026-06-11,2026-06-11 18:24,binance,ASTR/USDT,0.006259,16.1,32.45,41.9,,,
2026-06-11,2026-06-11 22:53,gate,H/USDT,0.20192,109.44,22.76,42.9,,,
2026-06-11,2026-06-11 20:11,bybit,VELVET/USDT,1.43329,103.89,21.41,146.4,,,
2026-06-11,2026-06-11 18:24,binance,VELVET/USDT,1.14988,136.11,18.63,1317.3,,,
2026-06-11,2026-06-11 20:11,bybit,HMSTR/USDT,0.000301,17.72,16.99,48.3,,,
2026-06-11,2026-06-11 18:24,binance,HMSTR/USDT,0.000309,23.59,15.58,151.2,,,
